Country Name,Year,Value
Argentina,2018,44494502
Australia,2018,24982688
Belgium,2018,11427054
Brazil,2018,209469333
Colombia,2018,49648685
Costa Rica,2018,4999441
Croatia,2018,4087843
Denmark,2018,5797446
Egypt, Arab Rep.,2018,98423595
France,2018,66987244
Germany,2018,82927922
Iceland,2018,353574
Iran, Islamic Rep.,2018,81800269
Japan,2018,126529100
Korea, Rep.,2018,51606633
Mexico,2018,126190788
Morocco,2018,36029138
Nigeria,2018,195874740
Panama,2018,4176873
Peru,2018,31989256
Poland,2018,37978548
Portugal,2018,10281762
Russian Federation,2018,144478050
Saudi Arabia,2018,33699947
Senegal,2018,15854360
Serbia,2018,6982084
Spain,2018,46723749
Sweden,2018,10183175
Switzerland,2018,8513227
Tunisia,2018,11565204
United Kingdom,2018,66460344
Uruguay,2018,3449299
